state,age,grade,hours,num612,num1317,youngest,othrlt18,othrge18,bmodk5,white,centcity,public,quarter,numge18
1,20.5,7,48,0,0,2,0,1,1,1,0,1,2,0
1,27.75,12,40,1,0,5,0,0,1,1,0,1,2,0
1,44,6,0,1,2,5,0,1,1,0,0,1,3,1
1,30,12,0,1,0,5,0,0,1,1,0,1,2,0
1,26.75,14,40,0,0,3,0,0,13,1,0,1,2,0
1,36.25,9,34,3,2,5,0,0,13,0,0,1,1,2
1,22.5,11,0,0,0,5,0,0,13,1,0,0,0,0
1,25.25,12,0,0,0,5,0,0,1,0,0,1,0,0
1,38,3,4,0,2,5,0,0,1,0,0,1,0,0
1,31,12,54,2,0,5,0,0,13,1,0,1,2,0
1,29.25,12,0,0,0,5,0,0,1,0,0,1,2,0
1,29,14,40,0,0,5,0,0,1,1,0,0,3,0
1,33.75,12,25,2,1,5,0,0,1,0,0,1,2,0
1,26.75,14,45,0,0,3,0,0,13,1,0,0,0,0
1,39.5,8,0,3,2,5,0,0,1,0,0,1,1,0
1,28.25,12,48,1,0,5,0,0,1,0,0,0,3,0
1,36.5,7,40,1,3,5,0,0,1,0,0,1,3,0
1,28.5,13,0,2,0,1,0,0,1,0,0,1,2,0
1,37.75,9,0,1,2,5,0,0,1,0,0,0,3,0
1,34.25,12,40,1,0,5,0,0,1,0,0,0,2,0
1,24,12,40,0,0,5,0,0,25,1,0,1,2,0
1,29,6,0,1,1,3,0,0,1,0,0,0,3,0
1,22,10,0,0,0,1,0,0,1,0,0,0,3,0
1,40.75,8,40,1,3,5,0,0,1,0,0,0,3,0
1,27.5,10,36,1,0,5,1,1,1,0,0,1,1,0
1,27,12,0,1,0,0,1,0,1,0,0,1,1,0
1,36.5,12,0,0,2,2,0,0,1,0,0,1,2,0
1,31.75,16,42,1,0,5,0,0,1,1,0,0,2,0
1,26.25,12,10,0,0,5,0,0,1,1,0,1,2,0
1,23.5,15,40,0,0,5,0,0,1,0,0,1,2,0
1,28.25,13,40,0,0,5,0,0,51,1,0,0,0,0
